"SKUID";"DESCRIPTION";"NETWEIGHT";"BRUTTOWEIGHT";"UNITSPERPARCEL";"UNITSPERPALLET";"SHELFLIFEPERIOD";"MU";"LOCATION"
"";"Йогурт СВАЛЯ ""Ecological"" NATURAL 3,5 - 4,6 % массовой доли жира 125 г.";0.125;0.132;10;310;25;"ш.";""
"";"Йогурт СВАЛЯ ""Ecological"" с персиками 3,5 - 4,6 % массовой доли жира 125 г.";0.125;0.132;10;310;25;"ш.";""
"";"Йогурт СВАЛЯ ""Ecological"" с малиной 3,5 - 4,6 % массовой доли жира 125 г.";0.125;0.132;10;10;25;"ш.";""
"";"Йогурт СВАЛЯ ""Ecological"" с вишней 3,5 - 4,6 % массовой доли жира 125 г.";0.125;0.132;10;10;25;"ш.";""
"";"Йогурт СВАЛЯ ""Ecological"" с черникой 3,5 - 4,6 % массовой доли жира 125 г.";0.125;0.132;10;10;25;"ш.";""
"";"Йогурт СВАЛЯ ""Ecological"" NATURAL 3,5 - 4,6 % массовой доли жира 350 г.";0.35;0.365;12;12;25;"ш.";""
"";"Йогурт СВАЛЯ ""Ecological"" с черникой 2,8-3,7 % массовой доли жира 350 г.";0.35;0.365;12;12;25;"ш.";""
"";"Йогурт СВАЛЯ ""Ecological"" с вишней 2,8-3,7 % массовой доли жира 350 г.";0.35;0.365;12;12;25;"ш.";""
"";"Литовская сметана «Сваля» 30% массовой доли жира 380 г.";0.38;0.398;12;116;35;"ш.";""
"";"Литовская сметана «Сваля» 18% массовой доли жира 185 г.";0.185;0.193;12;132;30;"ш.";""
"";"Сыр плавленый Литовский торговой марки Сваля ,,Гурманам“ м.д.жира в сух.вещ. 45%  180 г.";0.18;0.199;14;206;90;"Кг.";""
"";"Сыр плавленый копченый торговой марки Сваля ,,Гурманам“. м.д.жира в сух.вещ. 45%  180 г.";0.18;0.199;14;206;90;"Кг.";""
"";"Литовский творог «Сваля» обезжиренный. 300 г.";0.3;0.305;6;174;30;"Кг.";""
"";"Литовский творог «Сваля» 9% массовой доли жира 300 г.";0.3;0.305;6;174;30;"Кг.";""
"";"Литовский творог «Сваля» 15% массовщй доли жира 300 г.";0.3;0.306;5;173;30;"Кг.";""
"";"УВТ Литовское молоко «Сваля» 2.5% массовой доли жира 1 л. тетра-брик ";1.032;1.062;12;84;180;"ш.";""
"";"УВТ Литовское молоко «Сваля» 3.5%массовой доли жира 1 л. тетра-брик ";1.028;1.058;12;84;180;"ш.";""
"";"Плавленый сырок «Сваля» м.д.жира в сух.вещ.60% натуральный 185 г.";0.185;0.198;;0;90;"ш.";""
"";"Плавленый сырок «Сваля» м.д.жира в сух.вещ. 60% с ветчиной 185 г.";0.185;0.198;;0;90;"ш.";""
"";"Плавленый сырок «Сваля» м.д.жира в сух.вещ. 60% с лососью 185 г.";0.185;0.198;;0;90;"ш.";""
"";"Гречневая  каша «Сваля»  6% массовой доли жира.  200 г. НОВИНКА";0.2;0.211;9;105;35;"ш.";""
"";"Рисовая каша «Сваля» с клубникой 6% массовой доли жира.  200 г.";0.2;0.211;9;105;35;"ш.";""
"";"Овсяная каша «Сваля»  6% массовой доли жира    200 г .";0.2;0.211;9;105;35;"ш.";""
"";"Рисовая каша «Сваля» с ванилью 6%   массовой доли жира 200 г.";0.2;0.211;9;105;35;"ш.";""
