"SKUID";"DESCRIPTION";"QTY"
"00001352";"Колбаса сыровяленая Jubileinaya 160гх10шт(KREKENAVOS)";44
"00001354";"Майонез ""Золотое зернышко 15% олив.220млх36шт(Дой-Пак)";375
"00001356";"Майонез ""Золотое зернышко 15% олив.900млх12шт Ведро";187
"00001357";"Майонез ""Золотое зернышко 15% пров..900млх12шт Ведро";1421
"00001361";"Лайме Сливочный  48%м.д.ж. 5кг круг  (Литва)";1711.13
"00001362";"Лайме Сметанковый  48%м.д.ж.круг 2*~5кг  (Литва)";11947.23
"00001363";"Джюгас bronza 12мес. вес. (Литва)";8.79
"00001364";"Джюгас silver 18мес. вес. (Литва)";4.38
"00001365";"Джюгас Gold  36мес. вес. (Литва)";4.454
"00001368";"Голландский  Новый 40% (Дятлово)";32.574
"00001369";"Лайме Премиум 330гх9шт(Литва)";358
"00001370";"Майонез ""Золотое зернышко"" 15% олив.2.0лх4шт Бидон";252
"00001372";"Карамболь ""Пряный средизем. "" 50% копч. фас 0,300-АКЦИЯ";25.87
"00001373";"Колбаски п/к ""Tarуbinis"" 280гх9шт.(SAMSONAS)";4
"00001374";"Колбаски п/к ""Оленьи ""Zalgiris"" фас.0.230х12шт.(SAMSONAS)";11
"00001376";"Йогурт ""Organic"" natural  125гх10шт (Сваля)";250
"00001377";"Сосиски вареные ""Молочные по-литовски""560гх8шт (KREKENAVOS)";7
"00001378";"Колбаски полукопченые с сыром 400гх10шт(KREKENAVOS)";20
"00001379";"Колбаса полукопченая ""Краковская"" 1кг(KREKENAVOS)";42.518
"00001381";"Колбаски п/к""Охотничьи по литовски"" 500гх10шт(KREKENAVOS)";32
"00001382";"Колбаса с/к ""Klaipedskaja"" 250гх8шт (KREKENAVOS)";32
"00001383";"Грудинка варено-копченая свиная 500г(KREKENAVOS) Литва";3.088
"00001384";"Филе вар.копч.""Кlaipedskaja"" вес.~ 500г";2.384
"00001385";"Карбонад варено-копченый вес.500г(KREKENAVOS)";5.106
"00001386";"Бекон вар.копч.""Litovskij"" 500г KREKENAVOS)";11.656
"00001387";"Йогурт ""Organic"" с персиком  125гх10шт (Сваля)";230
"00001388";"Йогурт ""Organic"" с малиной 125гх10шт (Сваля)";210
"00001389";"Йогурт ""Organic"" с черникой 125гх10шт (Сваля)";250
"00001390";"Йогурт ""Organic"" с вишней 125гх10шт (Сваля)";308
"00001391";"Колбаса с/к ""Говяжья Zalgiris"" фас.0.140х14шт.(SAMSONAS)";1373
"00001392";"Колбаса с/к ""Кабанья Zalgiris"" фас.0.140х14шт.(SAMSONAS)";1192
"00001393";"Колбаса с/к ""Оленья Zalgiris"" фас.0.140х14шт.(SAMSONAS)";1609
"00001394";"Гильдия  45% 350гр.";503
"00001395";"ДЖЮГАС (Dziugas) 40% вес.Акция (Литва)";53.515
