"SKUID";"SKUGROUP";"DESCRIPTION";"MU";"BASEUNITS";"UNITSPERPARCEL";"UNITSPERPALLET";"MANUFACTURER";"COUNTRYOFORIGIN";"TRADITIONALTRADE";"LOCATION";"NETWEIGHT"
"00000784";"";"Рожок глазированный СМОБ земляника 23%";"vnt";1;0;0;" ";" ";1;"SPB";
"00000785";"";"Рожок глазированный СМОБ картошка 23%";"vnt";1;0;0;" ";" ";1;"SPB";
"00000786";"";"Рожок глазированный СМОБ черника 23%";"vnt";1;0;0;" ";" ";1;"SPB";
"00000592";"Группа 2";"Рокишкио  Мраморный  45-50%";"kg";1;0;0;"Rokiskio";"Литва";1;"SPB";
"00000273";"Группа 2";"Рокишкио 50% Премия";"kg";1;0;0;"Rokiskio";"Литва";1;"SPB";
"00000043";"Группа 2";"Рокишкио вес. экстра 45% (Литва)";"kg";1;0;0;"Rokiskio";"Литва";1;"SPB";
"00000382";"Группа 2";"Рокишкио Гоюс 40% (Литва)";"kg";1;0;0;"Rokiskio";"Литва";1;"SPB";
"00000274";"Группа 2";"Рокишкио мини 45% (Литва)";"";1;0;0;"Rokiskio";"Литва";1;"SPB";
"00000507";"Группа 2";"Рокишкио нарезка 200г х 16шт.45%";"vnt";1;0;0;"Rokiskio";"Литва";1;"SPB";0.2
"00001233";"Группа 2";"Рокишкио Оригинал  45% вес.сувенирный(Литва)";"kg";1;0;0;"Rokiskio";" ";1;"SPB";
"00000484";"Группа 2";"Рокишкио Российский (Литва)";"kg";1;0;0;"Rokiskio";"Литва";1;"SPB";
"00000269";"Группа 2";"Рокишкио фас.370г  45%";"kg";1;0;0;"Rokiskio";"Литва";1;"SPB";0.37
"00000567";"";"Роко сырный продукт (Литва)";"vnt";1;0;0;" ";"Литва";1;"SPB";
"00000473";"Группа 4";"Российский  (Белебей )50%";"kg";1;0;0;"Белебей";" ";1;"SPB";
"00001171";"Группа 4";"Российский  (Белебей )50% А";"kg";1;0;0;"Белебей";" ";1;"SPB";
"00000089";"";"Российский  (Кобрин) особый 50%";"vnt";1;0;0;" ";"Беларусь";1;"SPB";
"00000796";"Группа 4";"Российский  45% Экстра   (Ичалки)";"kg";1;0;0;"Россия - Ичалки";" ";1;"SPB";
"00000655";"";"Российский  50% (Мол.Мир)";"vnt";1;0;0;" ";" ";1;"SPB";
"00000846";"Группа 4";"Российский  50% (Новопокровский)";"kg";1;0;0;"Новопокровский";" ";1;"SPB";
"00000710";"";"Российский  50% (Смоленск)";"vnt";1;0;0;" ";" ";1;"SPB";
"00001093";"Группа 4";"Российский  50% акция (Новопокровский)";"kg";1;0;0;"Новопокровский";" ";1;"SPB";
"00001029";"Группа 4";"Российский  50% Аньково молодой";"kg";1;0;0;"Россия прочие";" ";1;"SPB";
"00000712";"";"Российский (Кобрин)молодой 50%";"vnt";1;0;0;" ";" ";1;"SPB";
"00000949";"Группа 4";"Российский 50%  (Порхов)брус";"kg";1;0;0;"Порхов";"---";1;"SPB";
"00000656";"";"Российский 50% (Беловежские сыры)";"vnt";1;0;0;" ";"Беларусь";1;"SPB";
"00000693";"Группа 4";"Российский 50% (Вамин)";"kg";1;0;0;"Россия прочие";" ";1;"SPB";
"00000474";"Группа 4";"Российский 50% (Верхнедвинск)";"kg";1;0;0;"Белоруссия";" ";1;"SPB";
"00000124";"";"Российский 50% (Воложин)";"vnt";1;0;0;" ";"---";1;"SPB";
"00000635";"Группа 4";"Российский 50% (Добряна)";"kg";1;0;0;"Украина";"Украина";1;"SPB";
"00000220";"Группа 4";"Российский 50% (Дятлово)";"kg";1;0;0;"Белоруссия";"Беларусь";1;"SPB";
"00000771";"Группа 4";"Российский 50% (Курск)";"kg";1;0;0;"Россия прочие";" ";1;"SPB";
"00000256";"Группа 4";"Российский 50% (Любань)";"kg";1;0;0;"Белоруссия";"Беларусь";1;"SPB";
"00000662";"";"Российский 50% (Могилев)";"vnt";1;0;0;" ";" ";1;"SPB";
"00000646";"";"Российский 50% (Орша) круг";"vnt";1;0;0;" ";" ";1;"SPB";
"00000671";"";"Российский 50% (Ошмяны)";"vnt";1;0;0;" ";" ";1;"SPB";
"00000001";"";"Российский 50% (Пинск)";"vnt";1;0;0;" ";"Беларусь";1;"SPB";
"00000622";"Группа 4";"Российский 50% (Пирятинский)";"kg";1;0;0;"Украина";"Украина";1;"SPB";
"00000094";"";"Российский 50% (Пушгоры)";"vnt";1;0;0;" ";"Россия";1;"SPB";
"00000970";"";"Российский 50% (Савушкин продукт)";"vnt";1;0;0;" ";" ";1;"SPB";0.2
